year,species,bb_doy,l75_doy,fbb_doy,fopn_doy,sd_bb_doy,sd_l75_doy,sd_fbb_doy,sd_fopn_doy
1995,BEPO,130,145,134,135,0.405549855,0.721402768,6.062177826,5.354984295
1996,BEPO,117,146,118,131,1.283911642,2.865510009,4.596194078,1.319941615
1997,BEPO,135,152,136,144,2.504751297,3.459533089,NA,NA
1998,BEPO,120,138,124,124,0.794997901,0.412316026,NA,NA
1999,BEPO,127,143,131,129,1.112411808,0.321438208,4.242640687,11.31372971
2000,BEPO,127,146,128,129,1.06172097,0.504981938,NA,NA
2001,BEPO,123,139,NA,NA,2.28484182,2.186191646,NA,NA
1990,CADE,128,164,NA,NA,1.885714722,2.343931382,0,6.088849155
1991,CADE,125,149,NA,NA,2.428987207,3.023795733,8.485281374,NA
1992,CADE,135,166,NA,NA,2.821794505,0.432841661,0,4.196575986
1993,CADE,122,151,NA,NA,4.097190097,0.168327313,3.5,2.119123059
1994,CADE,132,157,NA,NA,2.008521741,0.505325463,NA,NA
1995,CADE,131,155,NA,NA,2.002641327,3.007117291,4.836923954,1.075344872
1996,CADE,130,163,NA,NA,2.186157234,3.461882823,0,2.303129013
1997,CADE,134,164,NA,NA,2.865133657,2.952977785,NA,NA
1998,CADE,122,150,NA,NA,4.594136088,2.914294046,2.25,0.779556221
1999,CADE,126,151,NA,NA,6.111099574,3.041280034,0,0.992227331
2000,CADE,128,158,NA,NA,6.273356519,1.145619076,NA,NA
2001,CADE,123,151,NA,NA,5.518148474,2.116683667,18.03122292,16.29574616
1991,COAL,109,139,144,145,1.201277897,0.448958482,NA,NA
1992,COAL,120,159,160,160,5.494681928,3.464179558,0,7.07E-05
1993,COAL,110,145,155,155,2.194185625,0.296078245,0,5.30E-05
1994,COAL,115,140,159,155,3.965207201,3.129710609,2.25,5.761877073
1995,COAL,121,142,158,163,3.837265302,1.189238761,2.598076211,2.598090647
1996,COAL,115,147,156,160,1.370070225,4.907400789,NA,NA
1997,COAL,129,155,164,166,6.826209651,4.125002279,3.535533906,16.9704779
1998,COAL,112,134,128,138,5.668271418,2.869135037,NA,NA
1999,COAL,120,139,138,138,1.695860029,4.579668062,NA,NA
