year,species,lc_doy,lf_doy,sd_lc_doy,sd_lf_doy
2013,BEPA,264,270,2.987569712,3.541782759
2014,BEPA,277,283,9.406904629,3.695135254
2015,BEPA,282,290,4.500763283,11.71920141
2016,BEPA,285,294,NA,NA
2017,BEPA,281,291,6.119997548,9.193663314
2018,BEPA,277,285,2.24625992,1.064822974
2019,BEPA,273,289,10.53408257,4.812218311
2020,BEPA,279,291,5.161788549,4.642467038
2021,BEPA,279,289,6.102904583,2.591631281
2022,BEPA,277,290,4.473371688,4.191110932
1991,BEPO,275,280,1.168625171,1.523538767
1992,BEPO,283,287,5.028219036,4.924500094
1993,BEPO,275,282,2.020977661,4.281248466
1994,BEPO,275,284,4.976095518,3.871435082
1995,BEPO,272,281,10.0530967,7.952243304
1996,BEPO,277,285,4.335496466,8.232886445
1997,BEPO,277,287,1.919337817,0.468347447
1998,BEPO,274,283,0.201795142,3.535311166
1999,BEPO,278,285,10.58790951,12.01765621
2000,BEPO,275,282,11.6598811,19.42911303
2001,BEPO,276,282,9.131831604,10.48286236
1991,CADE,281,291,2.672767624,1.770678064
1992,CADE,NA,302,6.6932288,4.545209714
1993,CADE,284,298,8.145246584,18.98450612
1994,CADE,287,300,2.667171112,3.278680756
1995,CADE,286,299,7.06969686,6.055837378
1996,CADE,288,294,4.918137035,10.55718882
1997,CADE,286,298,0.95164603,3.223336193
1998,CADE,280,291,3.234932039,1.739803332
1999,CADE,283,293,5.303369802,7.495440068
2000,CADE,285,295,2.88656948,6.367014608
2001,CADE,285,294,13.17585501,8.66234769
1991,COAL,274,288,1.409944601,2.440213032
1992,COAL,275,285,4.108662626,4.036993979
1993,COAL,276,286,1.778604038,5.022438469
1994,COAL,279,286,6.449161272,11.50233931
1995,COAL,269,278,0.611738502,6.885592069
1996,COAL,280,288,NA,NA
1997,COAL,304,300,6.249378128,10.90366432
1998,COAL,272,282,3.227907509,1.49428074
1999,COAL,281,291,3.07445408,3.994931239
2000,COAL,283,289,4.228412871,4.295886904
2001,COAL,287,295,3.595140786,3.026512185
1991,CRSP,262,264,2.257794366,3.906169535
1992,CRSP,272,285,2.912170161,0.889065361
1993,CRSP,274,285,2.828207921,1.455777507
1994,CRSP,280,288,3.891442795,3.397244917
1995,CRSP,275,282,1.303961617,1.679586726
1996,CRSP,282,290,1.209107302,2.177372382
